customer_id,number_of_site_visits,number_of_emails_opened,number_of_clicks
350,311,209,67
351,3,1,1
352,107,55,18
353,8,2,1
354,1,1,1
355,55,26,17
356,207,18,2
357,116,18,14
358,64,28,17
359,160,3,14
360,71,23,12
361,147,14,11
362,230,70,44
363,94,23,9
364,512,132,52
365,246,97,56
366,53,71,20
367,28,52,4
368,351,36,48
369,45,29,5
370,620,298,88
371,195,32,16
372,120,51,27
373,85,77,37
374,44,37,18
375,193,120,43
376,17,13,9
377,324,57,49
378,70,36,24
379,7,7,5
380,92,38,4
381,363,99,55
382,3,1,1
383,390,138,30
384,54,94,47
385,19,33,72
386,41,129,16
387,188,17,27
388,5,1,1
389,27,9,6
390,426,143,28
391,102,181,87
392,40,15,9
393,131,93,11
394,82,8,17
395,54,13,12
396,162,62,25
397,13,22,6
398,44,8,22
399,8,2,1
400,73,19,18
401,24,43,13
402,42,17,5
403,649,106,56
404,68,17,9
405,198,117,24
406,64,16,8
407,6,6,4
408,25,61,70
409,132,84,14
410,7,8,1
411,4,9,1
412,3,42,24
413,26,20,1
414,129,81,33
415,37,11,6
416,122,31,13
417,73,37,16
418,47,172,111
419,233,17,52
420,198,117,31
421,85,65,22
422,45,3,1
423,39,62,53
424,1,1,1
425,3,1,1
426,31,115,4
427,218,45,23
428,11,2,1
429,146,91,24
430,27,103,28
431,1,1,1
432,10,66,2
433,305,192,71
434,42,33,27
435,183,66,6
436,306,11,42
437,221,100,30
438,4,9,6
439,84,27,7
440,1,2,1
441,457,7,55
442,495,220,35
443,55,20,10
444,34,5,3
445,5,1,2
446,33,12,5
447,62,41,33
448,5,15,44
449,12,1,3
450,490,129,56
451,178,6,59
452,235,42,46
453,114,71,8
454,348,57,109
455,1,45,9
456,13,3,2
457,21,23,5
458,48,2,25
459,3,23,11
460,136,36,26
461,493,199,78
462,190,100,45
463,103,7,5
464,34,20,2
465,245,27,44
466,114,77,33
467,309,131,71
468,132,10,34
469,264,90,34
470,44,4,15
471,74,22,17
472,6,2,1
473,162,53,9
474,214,128,9
475,346,147,86
476,169,17,43
477,289,15,52
478,260,77,15
479,88,54,34
480,17,6,4
481,250,42,6
482,165,23,30
483,40,7,36
484,10,9,2
485,83,8,3
486,12,8,1
487,12,12,14
488,1,1,1
489,2,36,17
490,33,22,5
491,124,26,40
492,123,42,9
493,214,19,42
494,7,2,1
495,141,68,31
496,272,119,8
497,35,6,7
498,169,54,1
499,38,15,5
500,327,73,48
501,6,134,21
502,20,27,29
503,78,20,20
504,1,1,1
505,5,1,1
506,10,8,9
507,252,66,45
508,53,15,3
509,4,14,6
510,150,89,1
511,184,133,2
512,256,183,80
513,220,55,33
514,13,14,7
515,30,20,33
516,51,160,12
517,34,15,4
518,48,9,4
519,60,78,5
520,11,1,1
521,109,2,2
522,39,16,2
523,165,10,19
524,115,2,23
525,82,78,33
526,15,12,1
527,695,25,139
528,13,3,2
529,297,125,27
530,46,51,4
531,85,47,31
532,13,1,4
533,30,33,84
534,10,109,2
535,32,7,3
536,442,10,1
537,165,27,34
538,57,10,16
539,65,15,4
540,28,19,4
541,5,8,3
542,167,132,40
543,16,10,6
544,208,50,35
545,1,3,3
546,81,31,16
547,293,60,26
548,19,2,4
549,28,28,9
550,140,1,93
551,21,73,2
552,3,11,13
553,68,34,11
554,9,21,2
555,5,5,3
556,52,45,5
557,9,7,1
558,17,24,28
559,13,29,15
560,2,2,2
561,334,144,59
562,82,6,19
563,7,9,1
564,32,6,10
565,18,6,4
566,2,18,3
567,80,17,11
568,43,37,1
569,229,58,37
570,1,1,1
571,105,37,11
572,96,131,34
573,173,32,7
574,2,2,3
575,161,6,11
576,37,18,7
577,79,17,4
578,378,83,4
579,22,25,5
580,29,32,2
581,2,1,1
582,16,2,15
583,1,13,4
584,228,106,14
585,4,5,1
586,120,47,6
587,251,65,34
588,22,24,29
589,103,190,58
590,27,7,1
591,128,42,15
592,105,27,37
593,14,17,12
594,34,1,3
595,87,15,26
596,358,167,86
597,89,19,16
598,110,15,10
599,74,35,13
600,17,6,2
601,62,69,58
602,33,24,22
603,36,3,7
604,190,38,26
605,199,40,13
606,7,8,5
607,49,21,9
608,2,1,2
609,97,40,31
610,90,133,65
611,331,27,23
612,1,1,1
613,9,2,1
614,95,109,4
615,74,23,18
616,1,1,1
617,98,100,71
618,304,83,48
619,12,28,8
620,7,14,3
621,112,15,31
622,663,11,112
623,3,1,1
624,4,138,44
625,69,21,12
626,80,25,12
627,84,35,18
628,40,4,7
629,223,107,51
630,1,1,1
631,107,131,78
632,318,127,51
633,112,63,10
634,18,76,34
635,250,4,49
636,9,3,1
637,54,28,9
638,57,85,38
639,53,15,30
640,57,23,4
641,98,5,13
642,50,22,10
643,10,1,1
644,354,201,53
645,68,5,27
646,135,194,60
647,2,1,1
648,9,3,2
649,9,6,1
650,67,41,40
651,117,70,14
652,11,2,2
653,69,17,11
654,541,46,57
655,34,6,7
656,63,113,68
657,24,10,6
658,25,4,3
659,13,1,2
660,13,1,5
661,1,9,4
662,56,22,4
663,6,1,1
664,49,20,13
665,6,1,1
666,5,8,2
667,2,10,7
668,208,45,25
669,84,6,1
670,235,99,62
671,111,46,13
672,136,36,14
673,120,10,15
674,159,104,51
675,113,3,23
676,211,133,58
677,84,16,11
678,31,7,4
679,67,33,1
680,19,6,2
681,4,3,1
682,187,64,20
683,2,1,1
684,29,15,1
685,8,1,1
686,274,101,2
687,269,48,57
688,12,4,2
689,3,25,16
690,1,1,1
691,48,27,29
692,648,17,4
693,1,1,1
694,164,39,28
695,21,54,44
696,12,8,3
697,26,38,3
698,197,29,18
699,79,27,4
700,83,28,4
701,10,2,3
702,28,17,8
703,131,71,38
704,36,14,35
705,299,8,57
706,309,94,89
707,29,18,31
708,121,105,40
709,92,29,7
710,36,32,3
711,111,48,37
712,61,133,27
713,277,84,39
714,66,17,23
715,5,14,2
716,1,1,1
717,72,5,4
718,222,159,95
719,64,32,16
720,78,19,5
721,51,70,11
722,226,111,62
723,53,7,11
724,138,19,8
725,560,167,70
726,115,19,31
727,38,23,6
728,124,15,14
729,12,6,1
730,8,6,3
731,262,23,52
732,90,68,22
733,173,56,4
734,3,1,1
735,431,110,114
736,192,34,11
737,301,128,55
738,4,12,3
739,151,70,35
740,138,37,80
741,167,62,27
742,17,7,1
743,154,71,31
744,135,43,4
745,109,67,31
746,101,54,28
747,42,5,13
748,21,18,10
749,71,24,5
750,200,58,39
751,23,61,28
752,237,24,3
753,317,95,72
754,48,1,1
755,4,1,1
756,307,178,10
757,118,37,21
758,23,3,4
759,28,1,4
760,28,19,2
761,325,101,39
762,81,35,20
763,131,100,23
764,31,9,1
765,375,87,51
766,13,34,1
767,7,1,4
768,413,19,48
769,174,39,29
770,228,81,50
771,37,38,2
772,444,100,26
773,7,2,1
774,22,68,20
775,6,5,3
776,260,132,55
777,53,13,15
778,113,35,6
779,3,1,1
780,4,1,1
781,22,8,1
782,6,1,1
783,30,25,8
784,19,4,2
785,279,65,59
786,477,168,95
787,1,1,1
788,1,1,1
789,113,43,22
790,8,25,24
791,4,1,1
792,210,79,25
793,7,3,1
794,55,7,13
795,13,27,11
796,102,46,11
797,3,29,89
798,50,29,9
799,85,72,18
800,92,30,38
801,134,17,123
802,165,171,66
803,46,27,6
804,54,8,19
805,14,42,81
806,83,8,36
807,28,59,9
808,47,86,9
809,497,164,34
810,34,1,15
811,44,188,95
812,236,53,32
813,62,16,32
814,28,49,10
815,157,75,30
816,336,190,119
817,382,13,87
818,40,18,1
819,92,36,23
820,107,6,23
821,33,6,10
822,187,68,24
823,102,79,62
824,51,13,1
825,73,28,1
826,409,1,96
827,16,303,142
828,79,116,60
829,11,1,1
830,36,1,4
831,90,21,29
832,33,7,28
833,61,29,14
834,42,19,2
835,114,10,12
836,215,65,41
837,110,42,58
838,90,18,11
839,35,8,6
840,17,5,2
841,108,25,21
842,315,30,51
843,52,72,57
844,231,100,36
845,1,19,33
846,1,1,1
847,7,48,13
848,6,26,36
849,41,16,2
850,153,93,4
851,5,1,1
852,24,7,4
853,4,1,1
854,38,16,7
855,482,184,7
856,64,110,8
857,280,31,34
858,374,21,89
859,139,68,39
860,32,6,6
861,367,20,21
862,199,189,82
863,162,102,47
864,3,14,6
865,350,41,68
866,4,1,1
867,20,2,3
868,13,40,21
869,113,4,5
870,1,1,1
871,162,51,17
872,7,1,1
873,97,52,15
874,106,34,15
875,265,70,20
876,7,3,2
877,86,35,22
878,18,9,15
879,69,29,13
880,7,4,2
881,14,3,2
882,6,39,9
883,314,79,82
884,30,49,1
885,17,9,15
886,2,9,6
887,36,11,11
888,237,158,68
889,40,17,5
890,54,57,39
891,44,34,17
892,108,42,32
893,106,124,1
894,139,37,31
895,55,33,16
896,60,5,13
897,6,2,1
898,140,31,8
899,1,1,1
900,130,119,39
901,435,192,8
902,91,33,15
903,107,15,31
904,12,4,3
905,184,81,5
906,566,74,63
907,28,1,1
908,10,41,47
909,67,15,13
910,72,32,9
911,1,1,1
912,82,24,17
913,13,2,8
914,61,40,9
915,69,26,30
916,11,78,24
917,137,75,13
918,73,53,6
919,98,101,21
920,57,11,8
921,282,19,53
922,65,47,15
923,1,1,1
924,88,13,14
925,1,1,1
926,217,60,30
927,26,6,3
928,29,24,17
929,315,206,43
930,156,3,7
931,156,42,38
932,1,11,1
933,55,33,23
934,210,36,6
935,57,26,17
936,17,2,5
937,126,3,7
938,189,4,2
939,285,49,76
940,8,4,1
941,3,5,3
942,384,117,25
943,4,5,8
944,43,61,30
945,66,31,15
946,5,31,5
947,23,5,1
948,168,74,30
949,4,3,1
950,197,6,25
951,246,11,3
952,2,1,1
953,7,12,8
954,4,3,1
955,30,12,5
956,7,10,18
957,91,58,35
958,6,78,19
959,15,2,2
960,15,5,3
961,5,1,1
962,6,1,1
963,189,42,48
964,138,22,28
965,117,38,16
966,64,93,13
967,1,1,1
968,88,54,10
969,27,2,2
970,135,32,13
971,113,44,50
972,87,72,19
973,100,43,7
974,39,74,6
975,10,1,1
976,196,99,36
977,61,14,26
978,38,30,2
979,106,27,5
980,5,34,9
981,43,6,4
982,2,1,1
983,1,1,1
984,22,31,13
985,70,3,22
986,99,24,16
987,27,2,2
988,230,86,14
989,62,23,8
990,1,1,1
991,27,121,10
992,17,117,72
993,23,6,2
994,38,1,39
995,6,18,4
996,1,1,1
997,142,117,23
998,171,25,102
999,18,8,5
1000,517,36,44
1001,52,4,4
1002,194,80,12
1003,18,41,31
1004,474,230,120
1005,31,60,34
1006,2,20,10
1007,4,1,1
1008,232,38,55
1009,253,38,38
1010,16,8,1
1011,191,105,39
1012,66,2,17
1013,37,30,41
1014,11,8,3
1015,14,21,7
1016,25,16,10
1017,139,37,15
1018,17,9,1
1019,1,1,1
1020,114,2,17
1021,1,13,22
1022,17,1,2
1023,75,47,15
1024,4,1,5
1025,166,32,54
1026,198,55,16
1027,99,9,1
1028,246,28,3
1029,11,19,13
1030,113,12,34
1031,25,3,8
1032,1,1,1
1033,13,8,1
1034,51,14,8
1035,7,1,1
1036,27,2,1
1037,154,66,42
1038,78,64,25
1039,50,3,18
1040,66,21,43
1041,376,36,93
1042,300,229,22
1043,291,87,63
1044,5,33,20
1045,15,1,2
1046,86,5,11
1047,123,60,9
1048,160,23,33
1049,43,46,16
1050,83,2,1
1051,32,9,2
1052,19,20,121
1053,135,37,26
1054,60,5,1
1055,56,89,18
1056,4,1,1
1057,71,24,38
1058,7,30,29
1059,220,108,71
1060,4,1,1
1061,2,3,11
1062,3,3,2
1063,50,20,8
1064,67,17,88
1065,1,1,1
1066,2,4,1
1067,227,49,55
1068,1,1,1
1069,434,6,78
1070,39,9,2
1071,21,7,13
1072,67,10,14
1073,37,103,14
1074,7,1,1
1075,38,26,10
1076,59,62,14
1077,24,13,14
1078,3,2,1
1079,51,20,8
1080,17,4,22
1081,34,58,19
1082,190,106,20
1083,8,4,1
1084,236,100,12
1085,44,43,1
1086,149,17,8
1087,537,139,58
1088,20,2,1
1089,339,196,5
1090,297,164,80
1091,2,1,1
1092,25,4,1
1093,309,149,60
1094,8,2,6
1095,44,26,32
1096,16,25,1
1097,582,131,110
1098,9,3,1
1099,3,59,17
1100,95,48,16
1101,62,12,11
1102,4,2,1
1103,30,2,2
1104,348,107,57
1105,35,18,2
1106,7,1,1
1107,488,233,119
1108,404,21,31
1109,25,12,6
1110,29,1,6
1111,7,10,5
1112,59,21,6
1113,21,5,1
1114,33,17,7
1115,23,8,12
1116,3,3,1
1117,43,4,30
1118,40,5,8
1119,3,6,3
1120,129,61,53
1121,46,40,29
1122,195,107,11
1123,2,1,1
1124,5,5,2
1125,3,1,1
1126,20,8,3
1127,289,125,9
1128,86,23,33
1129,4,15,6
1130,7,3,2
1131,6,2,1
1132,5,1,1
1133,32,11,9
1134,193,49,39
1135,258,6,8
1136,330,116,62
1137,86,42,16
1138,79,136,19
1139,184,269,92
1140,33,8,8
1141,10,20,19
1142,235,90,8
1143,31,11,13
1144,145,75,16
1145,87,4,14
1146,53,74,27
1147,5,12,3
1148,282,105,54
1149,33,42,28
1150,474,108,13
1151,177,202,103
1152,25,3,3
1153,77,9,4
1154,72,84,46
1155,139,97,17
1156,159,12,34
1157,49,19,9
1158,12,8,3
1159,25,7,4
1160,332,79,90
1161,27,16,22
1162,2,4,1
1163,120,13,18
1164,43,13,13
1165,39,5,15
1166,72,9,21
1167,101,10,28
1168,22,10,4
1169,39,12,12
1170,26,94,38
1171,120,53,23
1172,158,75,15
1173,71,22,13
1174,297,77,9
1175,220,112,15
1176,35,14,6
1177,238,3,4
1178,50,1,5
1179,6,21,5
1180,8,4,1
1181,20,40,13
1182,4,1,3
1183,180,66,27
1184,348,10,43
1185,2,3,3
1186,84,35,3
1187,155,42,11
1188,3,3,1
1189,140,90,37
1190,2,7,4
1191,20,16,5
1192,71,15,20
1193,197,38,37
1194,12,16,13
1195,214,19,28
1196,319,121,54
1197,94,18,53
1198,12,9,5
1199,126,36,23
1200,62,139,32
1201,14,1,9
1202,133,39,1
1203,78,5,7
1204,13,52,15
1205,78,15,17
1206,53,38,28
1207,327,1,34
1208,209,25,10
1209,39,48,19
1210,223,81,5
1211,31,6,8
1212,13,1,9
1213,217,55,40
1214,11,17,13
1215,19,9,20
1216,24,9,1
1217,49,12,8
1218,111,51,6
1219,25,7,5
1220,121,17,4
1221,173,41,10
1222,57,24,22
1223,174,11,4
1224,26,2,6
1225,1,1,1
1226,33,5,7
1227,13,17,8
1228,5,8,5
1229,346,140,26
1230,190,58,8
1231,5,1,2
1232,2,1,1
1233,1,1,1
1234,320,13,17
1235,245,43,14
1236,96,13,22
1237,41,24,12
1238,231,175,69
1239,39,10,3
1240,23,20,13
1241,59,7,23
1242,67,89,56
1243,54,44,36
1244,69,23,7
1245,20,62,16
1246,192,55,2
1247,1,1,1
1248,220,90,27
1249,31,40,1
1250,352,65,18
1251,76,57,81
1252,10,3,1
1253,37,24,10
1254,484,62,17
1255,7,2,1
1256,325,237,57
1257,3,7,3
1258,31,34,6
1259,113,77,17
1260,210,24,38
1261,1,1,1
1262,172,38,38
1263,18,2,5
1264,229,145,49
1265,63,33,2
1266,47,23,16
1267,11,5,1
1268,221,62,24
1269,273,8,64
1270,29,66,40
1271,190,20,19
1272,78,22,17
1273,151,60,7
1274,66,49,15
1275,31,6,1
1276,210,91,13
1277,51,9,18
1278,13,68,11
1279,266,2,55
1280,21,18,9
1281,16,18,2
1282,6,174,93
1283,357,25,29
1284,140,67,14
1285,39,37,15
1286,108,104,28
1287,157,210,91
1288,106,3,98
1289,17,1,1
1290,36,15,3
1291,77,91,45
1292,86,44,22
1293,134,26,10
1294,87,49,36
1295,480,80,48
1296,2,1,1
1297,86,22,86
1298,11,94,29
1299,4,3,1
1300,129,20,28
1301,7,56,59
1302,35,7,7
1303,134,51,13
1304,133,29,26
1305,41,25,6
1306,177,54,16
1307,30,31,1
1308,69,42,25
1309,35,25,15
1310,72,37,21
1311,537,3,27
1312,98,32,22
1313,43,5,16
1314,95,58,18
1315,50,8,7
1316,25,28,13
1317,90,23,14
1318,136,63,42
1319,140,30,24
1320,2,35,30
1321,1,6,4
1322,6,3,1
1323,93,5,55
1324,327,30,14
1325,14,4,2
1326,227,143,81
1327,213,101,22
1328,15,37,3
1329,1,1,1
1330,50,24,7
1331,26,17,2
1332,382,95,21
1333,6,1,1
1334,186,26,38
1335,6,4,1
1336,56,82,58
1337,51,18,1
1338,2,1,1
1339,503,180,61
1340,6,1,1
1341,71,37,67
1342,29,17,11
1343,2,4,9
1344,60,73,2
1345,211,14,15
1346,13,47,96
1347,176,73,6
1348,429,40,51
1349,85,20,15
1350,40,72,11
1351,173,68,28
1352,124,50,6
1353,1,2,1
1354,1,1,1
1355,322,60,33
1356,222,94,9
1357,218,115,44
1358,52,103,60
1359,440,42,65
1360,95,20,122
1361,96,39,34
1362,31,20,7
1363,20,30,2
1364,95,75,21
1365,4,174,55
1366,173,7,4
1367,243,28,35
1368,13,24,8
1369,53,14,1
1370,136,10,37
1371,122,79,12
1372,291,73,38
1373,103,47,36
1374,40,15,6
1375,15,26,13
1376,86,216,59
1377,260,104,42
1378,35,26,13
1379,33,15,1
1380,8,1,1
1381,64,44,14
1382,468,23,7
1383,18,69,6
1384,16,11,11
1385,26,7,2
1386,93,16,10
1387,517,24,97
1388,42,24,18
1389,27,7,5
1390,17,18,1
1391,31,11,2
1392,131,70,29
1393,52,18,14
1394,21,6,1
1395,558,95,36
1396,49,45,18
1397,251,7,53
1398,174,78,24
1399,581,40,14
1400,29,14,6
1401,17,5,1
1402,14,4,1
1403,3,13,63
1404,240,13,27
1405,2,1,1
1406,73,103,2
1407,3,1,1
1408,4,1,1
1409,227,124,78
1410,6,2,2
1411,89,7,40
1412,70,43,4
1413,123,200,109
1414,389,20,59
1415,1,8,2
1416,15,29,4
1417,112,39,1
1418,1,1,1
1419,54,87,19
1420,21,6,3
1421,14,13,25
1422,10,4,2
1423,36,17,44
1424,311,156,39
1425,183,6,34
1426,7,45,11
1427,188,106,1
1428,248,23,14
1429,12,4,1
1430,376,96,70
1431,411,237,102
1432,123,54,15
1433,1,1,1
1434,9,1,1
1435,58,19,4
1436,73,9,42
1437,170,19,11
1438,373,40,83
1439,29,50,27
1440,35,14,10
1441,2,1,1
1442,44,20,9
1443,397,161,29
1444,295,72,31
1445,363,62,51
1446,375,150,85
1447,201,94,51
1448,1,1,1
1449,155,150,78
1450,1,1,1
1451,270,46,25
1452,442,4,93
1453,214,62,33
1454,36,5,3
1455,35,15,6
1456,159,31,21
1457,228,102,31
1458,14,6,1
1459,208,91,17
1460,320,54,5
1461,186,4,2
1462,129,39,3
1463,13,86,37
1464,1,1,1
1465,3,1,1
1466,77,65,8
1467,126,24,8
1468,69,40,9
1469,43,18,2
1470,192,105,44
1471,1,1,1
1472,569,152,72
1473,1,3,1
1474,9,7,3
1475,28,7,4
1476,70,16,53
1477,227,47,36
1478,114,7,19
1479,3,8,4
1480,59,140,15
1481,182,42,30
1482,246,114,58
1483,187,114,66
1484,11,12,7
1485,433,164,13
1486,221,4,45
1487,56,11,11
1488,92,63,13
1489,135,153,61
1490,607,220,72
1491,365,171,83
1492,178,71,61
1493,109,41,16
1494,18,1,7
1495,66,86,21
1496,106,47,19
1497,205,27,16
1498,316,18,88
1499,16,27,17
1500,49,47,4
1501,2,1,1
1502,21,35,25
1503,175,49,32
1504,184,1,57
1505,377,48,32
1506,9,2,1
1507,2,1,1
1508,177,7,36
1509,139,5,51
1510,10,23,74
1511,83,43,10
1512,9,1,18
1513,135,15,16
1514,70,18,8
1515,126,60,4
1516,1,1,1
1517,24,9,12
1518,40,76,8
1519,26,4,4
1520,2,5,2
1521,39,37,16
1522,98,10,29
1523,73,25,3
1524,95,11,24
1525,328,157,26
1526,246,29,30
1527,283,129,21
1528,4,22,5
1529,84,71,29
1530,26,27,5
1531,63,27,2
1532,59,38,3
1533,3,1,1
1534,25,20,6
1535,487,91,43
1536,3,1,1
1537,383,119,87
1538,541,150,105
1539,239,99,35
1540,15,5,2
1541,15,3,1
1542,14,4,2
1543,1,1,1
1544,11,11,12
1545,14,106,58
1546,6,1,1
1547,1,1,1
1548,26,9,2
1549,1,1,1
1550,88,192,105
1551,173,100,26
1552,61,29,33
1553,165,62,11
1554,33,26,3
1555,36,35,42
1556,1,3,2
1557,204,52,37
1558,251,118,58
1559,88,63,60
1560,7,4,2
1561,88,4,9
1562,33,11,5
1563,13,4,4
1564,34,11,6
1565,82,1,10
1566,218,22,17
1567,84,27,7
1568,8,3,1
1569,21,57,23
1570,41,6,7
1571,2,2,1
1572,7,7,2
1573,77,66,17
1574,13,3,4
1575,38,30,7
1576,148,77,29
1577,269,5,28
1578,4,1,1
1579,50,13,2
1580,1,1,1
1581,251,72,42
1582,8,6,13
1583,19,10,3
1584,340,177,118
1585,225,71,7
1586,3,1,1
1587,9,8,1
1588,45,19,1
1589,2,30,10
1590,572,155,8
1591,17,5,5
1592,60,5,2
1593,420,197,1
1594,5,2,1
1595,210,29,78
1596,78,155,17
1597,14,4,11
1598,4,2,2
1599,365,162,42
1600,233,68,25
1601,113,46,9
1602,5,1,1
1603,86,64,27
1604,19,7,1
1605,234,93,34
1606,58,31,6
1607,4,6,2
1608,21,44,16
1609,67,6,8
1610,74,28,18
1611,295,4,66
1612,576,25,69
1613,4,4,1
1614,163,19,41
1615,102,22,18
1616,5,1,1
1617,6,2,1
1618,53,61,20
1619,239,51,19
1620,173,5,31
1621,46,5,3
1622,279,115,62
1623,40,6,21
1624,103,22,4
1625,198,122,55
1626,143,25,4
1627,69,26,15
1628,40,37,12
1629,27,27,6
1630,61,94,9
1631,197,57,1
1632,5,65,2
1633,23,5,1
1634,25,35,11
1635,11,45,12
1636,231,172,48
1637,49,13,61
1638,33,4,4
1639,129,6,28
1640,248,58,50
1641,20,5,1
1642,32,23,10
1643,235,51,23
1644,1,75,29
1645,115,114,24
1646,21,9,10
1647,33,93,10
1648,12,39,12
1649,123,6,8
1650,17,31,33
1651,62,24,30
1652,118,50,26
1653,64,27,8
1654,104,131,35
1655,144,62,19
1656,208,80,29
1657,29,3,3
1658,59,21,11
1659,66,24,50
